filepath,source,label,emotion,intensity,screaming,split
RAVDESS\03-01-03-01-01-02-14.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\m1k9Selk_3I_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-01-02-01-11.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\ZMqvgkdkmJI_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-01-01-21.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\J1nIXpnMe1U_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\_0M9Tl1fx4Y_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\b_KtUga1_pg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\QDGnB6tufyQ_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-03-02-01-01-15.wav,RAVDESS,neutral,happy,strong,,train
RAVDESS\03-01-07-02-01-02-13.wav,RAVDESS,neutral,disgust,strong,,train
RAVDESS\03-01-03-01-02-01-15.wav,RAVDESS,neutral,happy,normal,,train
RAVDESS\03-01-03-02-01-01-18.wav,RAVDESS,neutral,happy,strong,,train
RAVDESS\03-01-05-02-02-02-23.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\Screaming\2mrA762O4f4_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-02-01-02-02-11.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\Obc79LFQ05Q_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-02-02-10.wav,RAVDESS,neutral,happy,normal,,train
Screaming\Screaming\0-RnTXpp8Q0_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\Whw1v0fFkoI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\IISJXKl1Ih4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\E0WTUcp85_0_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-02-01-07.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\0Gj0gGPGlMA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\8o8LyEIy5UA_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\1T5zVWMT3dM_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-02-01-02-24.wav,RAVDESS,neutral,disgust,strong,,train
RAVDESS\03-01-08-02-01-01-16.wav,RAVDESS,neutral,surprised,strong,,train
RAVDESS\03-01-07-02-02-02-01.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\Screaming\Vi1iTDV2CTo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\hO8KCJPZK3I_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\fDBzeSQoTu8_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\t_vMIL89pNM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-01-01-01-01-22.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\Screaming\eJRxB2EvJos_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-03-02-01-01-13.wav,RAVDESS,neutral,happy,strong,,train
Screaming\Screaming\6AFVlijRSNU_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-02-01-02-01.wav,RAVDESS,aggressive,angry,strong,,train
RAVDESS\03-01-08-02-02-02-14.wav,RAVDESS,neutral,surprised,strong,,train
Screaming\NotScreaming\HtXtfCR-MUg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\T2pIUdaDMuA_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-02-02-17.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\PIdcZV3BNHU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\Zk435Fd5TMA_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-02-01-02-04.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\Screaming\1C8Oh2xOkMM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\4NetAxSbj-Y_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\0q-80dzp6PU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\WvuJuEM7JJs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Emotions\64991c9e7f82d97639452402-surprised.wav,EMOTIONS_DATASET,neutral,surprised,,,train
Screaming\NotScreaming\JEvaWSdgptQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\FeaKHpQ4UhE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\ZuJIlrPZeWE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\LMZzvqMZGqw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\a-11dtG7aK4_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-02-01-02-11.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\inua1iZ3BxY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\ZSItez9gTyY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\BZn_6borMY4_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-02-01-01-12.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\yQN9gj7Vk0w_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-01-01-02-21.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\SFOBjWoQkjU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\9d5q16pnFZM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\-yERwTDWZuU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Ib6wI_Mag9M_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\L-K7mnGzx9Y_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\yiNRE6bnRxY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\vRTWnl68ceE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\T8NpPX6sWqs_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-02-02-20.wav,RAVDESS,neutral,sad,normal,,train
Screaming\Screaming\H57jbZlMoZ0_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\Klm5VqKvIUE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\6XHdybfV5Cw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\s9Dx_Gq_AQI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\yJPB7UlC4No_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-02-01-24.wav,RAVDESS,aggressive,fearful,strong,,train
RAVDESS\03-01-03-01-01-02-10.wav,RAVDESS,neutral,happy,normal,,train
RAVDESS\03-01-02-02-01-02-16.wav,RAVDESS,neutral,calm,strong,,train
RAVDESS\03-01-08-01-01-01-16.wav,RAVDESS,neutral,surprised,normal,,train
RAVDESS\03-01-06-01-01-01-09.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\-ASYwidRD7M_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\pUPvir8l8HA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\xMMxJJtBBpw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\sxuDrPSDAeY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\50sztCkIuKU_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-02-01-01-23.wav,RAVDESS,neutral,disgust,strong,,train
RAVDESS\03-01-06-01-01-01-22.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\VwvikYBN28E_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-02-02-11.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\NotScreaming\4T4av1I5CNE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Gd8v14IzF7E_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\zxeeysNrEvM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\AuAhSdfY-rs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\k9UC0DwpPLo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\94COSACl2QM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\Bf0r1QRW8q4_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-01-01-09.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\67S7s_jFXhc_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-02-02-23.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\NotScreaming\QQRa033bdzE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\0GQFYsxMP9Y_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\D8tPjS55ujU_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-02-02-02-04.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\Screaming\_1JL0dL_h68_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-02-02-02-01-05.wav,RAVDESS,neutral,calm,strong,,train
RAVDESS\03-01-01-01-01-01-21.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\MMGAKKhqxKg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\h3DVqb55DRQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\58h2NdNd4KM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\bYzFyPg9h9o_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Gz8RlHf3Czs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\9BWFVJvXFMc_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\ufr3NGvQHhY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\D7WIcFJ1Ye4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\I3tsPWybQRI_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-02-01-02-01-10.wav,RAVDESS,neutral,calm,normal,,train
Screaming\Screaming\eeG5d-BMKjA_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-07-02-01-01-13.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\Screaming\hD4tCwOfUW8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\POOu05eUvqE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\XHSf6GwjANc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-06-01-02-01-22.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\yw1K7Z3cz10_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\GjINSDvWHW4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\suFIELb--3M_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\__qxgIqI0uA_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-01-01-15.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\PpY9Sm8wWOQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\BI-3qyY9sdM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\RdQWZQqJuqo_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Jz4wLRDTF54_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\sLUW8bnYzSg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\5nJr7iar6ZM_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-02-02-01-22.wav,RAVDESS,neutral,surprised,strong,,train
RAVDESS\03-01-07-01-01-02-24.wav,RAVDESS,neutral,disgust,normal,,train
RAVDESS\03-01-02-01-02-01-24.wav,RAVDESS,neutral,calm,normal,,train
Screaming\Screaming\CC8ZYGk63W0_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\z36HQPCHVso_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\E-V7blxcItc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\NoB_4XaZYVs_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-02-02-10.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\2XP6Q2CXB-w_out.wav,SCREAMING_DATASET,neutral,,,False,train
Emotions\64992202ea5ed167d5bce5d3-surprised.wav,EMOTIONS_DATASET,neutral,surprised,,,train
Screaming\Screaming\XjGiiesddM4_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\BE3cTqYfb0c_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\xN_XzpVKsJA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\DE4bCkOXGQ8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\SiX-xhdaAlQ_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\Pef10mwHBLw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\vTXb8P7sAFY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\ItstzW7xuDU_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-02-01-04.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\Screaming\YPo6QClAY3U_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\i0VECHu-y6U_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-01-02-21.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\T5pzn0UZViU_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-01-01-10.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\CAgSzHkGzwQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\_bwi6VRGtKo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-02-02-02-16.wav,RAVDESS,aggressive,angry,strong,,train
RAVDESS\03-01-07-01-02-02-07.wav,RAVDESS,neutral,disgust,normal,,train
RAVDESS\03-01-01-01-01-02-12.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\pli4GNSAymM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\SyEVBFw_9oE_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\IEJmx9YngBI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Ngr1yR8S-rY_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-02-01-02-12.wav,RAVDESS,neutral,happy,strong,,train
Screaming\Screaming\DmDsORMoBFI_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\jfE9TRDZEMs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\X_6bDtRhpog_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-02-02-14.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\DXd83S6NHLg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\E4vMZ4hiP2c_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-01-02-13.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\Screaming\ZgotRSJmIGQ_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\9cOXbQSEQ0M_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\0_hnDV2SHBI_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\MInuYEFVsvU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\IMp759tj4eU_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-02-01-01-23.wav,RAVDESS,neutral,surprised,strong,,train
Screaming\NotScreaming\CcXfe1xEuhA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\vLG6W4Bc_pc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-02-02-01-02-03.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\jklPXWVY718_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-02-01-02-20.wav,RAVDESS,neutral,happy,strong,,train
Screaming\Screaming\32_QEpwmYOo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-08-01-01-01-22.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\9ng2jhBIWgk_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-01-01-11.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\NotScreaming\UFAGCTDB7EY_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-01-02-23.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\NotScreaming\WCl93HBuj60_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\Vu1ljyGn_xs_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\ecHgcc5MpyA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\JnPckYffxIs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\_1W5qOZAjC8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\KOS5gxwxFlI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\z_mf1ceM8jc_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Ekoh6TJpA88_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-02-02-12.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\Screaming\2IRTIUYmEGw_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\mOnPgI8vfiQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\fJ8re5kbJxQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-01-02-01-12.wav,RAVDESS,aggressive,angry,normal,,train
RAVDESS\03-01-04-01-02-01-17.wav,RAVDESS,neutral,sad,normal,,train
Screaming\NotScreaming\Hij_QxDkIJI_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-01-02-03.wav,RAVDESS,neutral,neutral,normal,,train
RAVDESS\03-01-03-01-02-01-24.wav,RAVDESS,neutral,happy,normal,,train
Screaming\Screaming\FGmnvI-0VNw_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\THe0X8VeNbs_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\Ofry7lyQZDA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\NxABghkgXHA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\Yiw8ec6lMD8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\60I8VwOkzcg_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\5TmGyuqwKUo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-06-02-02-01-14.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\NotScreaming\r4UhqWUHge8_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-01-02-16.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\hFOk0lXphBY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\PO2YMrgcqNc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\-mB_XLq6g1g_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\bc39DoAFVe0_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\VCZy_eUnpwo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\ef7EjtZAHps_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\dT7uHHQEYHQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-02-02-11.wav,RAVDESS,neutral,neutral,normal,,train
RAVDESS\03-01-02-02-01-01-02.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\1Xm4os2ugaA_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-01-01-02-16.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\MlnK2sa7mm4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\XOsHEjo-RSg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\5RmL4RxyOXk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\Bdez-Sk1zQo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-01-01-01-01-08.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\k-4Q_ZC3T9U_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-02-01-02-21.wav,RAVDESS,neutral,sad,strong,,train
RAVDESS\03-01-01-01-01-01-23.wav,RAVDESS,neutral,neutral,normal,,train
RAVDESS\03-01-07-01-02-01-08.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\xMxt4GMtatk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\g5WKdrCYQF4_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\GLb9zvhNSXE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\tW7478HnmCs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\bcD4Px5qtsg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\qu4_HQoObdQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-02-01-20.wav,RAVDESS,neutral,happy,normal,,train
RAVDESS\03-01-04-01-01-02-17.wav,RAVDESS,neutral,sad,normal,,train
RAVDESS\03-01-03-01-02-01-12.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\awb9dareQmM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\yKIE8sIQpJU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\OlGs6IxcviI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\l11PnbU0ycQ_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\fjJSS9MVBQM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\CLgiT1_V2Oo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\xGqWSur-CZg_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-02-01-01-15.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\NotScreaming\SIBMc9ZDLag_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-02-02-07.wav,RAVDESS,aggressive,fearful,strong,,train
RAVDESS\03-01-02-01-02-01-04.wav,RAVDESS,neutral,calm,normal,,train
RAVDESS\03-01-03-02-02-02-17.wav,RAVDESS,neutral,happy,strong,,train
Screaming\NotScreaming\qxeNFkBub5g_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\ToxWgj3_Zgw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\NzUqkTyU9n8_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-01-01-01.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\Screaming\saevFB0acTY_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-07-01-02-02-14.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\sOJSjVp6UTc_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\pkvhVWUd3EI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\59u7UwUkEWU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\iqexZsorHsw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\W8IOz3qRU_0_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\VIWymwz2kcw_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\ySz3Fk39TOk_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-01-01-14.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\ZyWOua6VzZE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\W-Xr-MVNST8_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-02-01-15.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\mmz6uoEWxuE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\TP1cBAI6qZ0_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Ojz0ypDbruI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\2ModUhHZVCU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\DV_gG7uem6Y_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-01-02-01-05.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\Screaming\MY6vm2_PjC0_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\UsZxMrRz_Qg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\hbULNdHS7_8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
